Institution,Awards,Payout,Type,Year
Shawnee Community College,345,"$268,069 ",Public-2 year,2011-2012
South Suburban Coll of Cook Cty,"2,118","$2,071,048 ",Public-2 year,2011-2012
Southeastern Illinois College,293,"$243,810 ",Public-2 year,2011-2012
Southwestern Illinois College,"1,275","$999,732 ",Public-2 year,2011-2012
Spoon River College,408,"$508,925 ",Public-2 year,2011-2012
Triton College,"1,991","$2,010,769 ",Public-2 year,2011-2012
Wabash Valley College,93,"$93,702 ",Public-2 year,2011-2012
Waubonsee Community College,"1,259","$1,036,746 ",Public-2 year,2011-2012
Wilbur Wright College,"2,357","$2,008,758 ",Public-2 year,2011-2012
William Rainey Harper College,"1,940","$2,539,009 ",Public-2 year,2011-2012
Lincoln College*,--,--,,2011-2012
MacCormac College*,--,--,,2011-2012
Morrison Institute of Tech*,--,--,,2011-2012
Blessing-Rieman College of Nursing,53,"$187,120 ",Hospital Schools,2011-2012
Capital Area School of Prac Nursing,82,"$259,136 ",Hospital Schools,2011-2012
Graham Hospital School of Nursing,50,"$172,501 ",Hospital Schools,2011-2012
Lakeview College of Nursing,83,"$279,909 ",Hospital Schools,2011-2012
Methodist College of Nursing,255,"$907,262 ",Hospital Schools,2011-2012
National University of Health Sciences,16,"$55,859 ",Hospital Schools,2011-2012
Resurrection University,90,"$287,015 ",Hospital Schools,2011-2012
Rush University-Med Tech,18,"$70,644 ",Hospital Schools,2011-2012
St. Anthony College of Nursing,97,"$336,699 ",Hospital Schools,2011-2012
St. Francis Medical Ctr College of Nursing,163,"$557,844 ",Hospital Schools,2011-2012
St. Johns College Dept of Nursing,33,"$133,149 ",Hospital Schools,2011-2012
Trinity College of Nursing & Health Science,35,"$108,666 ",Hospital Schools,2011-2012
American Academy of Art,181,"$678,182 ",For Profit,2011-2012
Argosy University,--,--,For Profit,2011-2012
DeVry University - Chicago,"3,667","$10,358,680 ",For Profit,2011-2012
Fox College,268,"$932,212 ",For Profit,2011-2012
Harrington College of Design,138,"$391,724 ",For Profit,2011-2012
Kendall College,626,"$1,776,259 ",For Profit,2011-2012
Le Cordon Bleu College of Culinary Arts,333,"$807,211 ",For Profit,2011-2012
Midstate College,328,"$803,393 ",For Profit,2011-2012
Northwestern College,"1,163","$2,801,199 ",For Profit,2011-2012
The Illinois Institute of Art,"1,715","$5,180,367 ",For Profit,2011-2012
Chicago State University,"2,415","$6,094,958 ",Public - 4 year,2012-2013
Eastern Illinois University,"2,693","$9,491,142 ",Public - 4 year,2012-2013
Governors State University,"1,064","$2,171,870 ",Public - 4 year,2012-2013
Illinois State University,"4,204","$14,950,080 ",Public - 4 year,2012-2013
Northeastern Illinois Univ.,"3,418","$8,856,818 ",Public - 4 year,2012-2013
Northern Illinois University,"5,767","$20,661,296 ",Public - 4 year,2012-2013
Southern Illinois-Carbondale,"4,055","$14,405,880 ",Public - 4 year,2012-2013
Southern Illinois-Edwardsville,"2,872","$8,153,700 ",Public - 4 year,2012-2013
University of Illinois-Chicago,"7,618","$29,729,284 ",Public - 4 year,2012-2013
University of Illinois-Springfield,778,"$2,467,714 ",Public - 4 year,2012-2013
University of Illinois-Urbana,"6,324","$26,267,340 ",Public - 4 year,2012-2013
Western Illinois University,"3,011","$10,954,898 ",Public - 4 year,2012-2013
Augustana College,634,"$2,882,755 ",Private-4 year,2012-2013
Aurora University,"1,155","$4,515,134 ",Private-4 year,2012-2013
Benedictine University,"1,438","$5,128,362 ",Private-4 year,2012-2013
Blackburn College,277,"$1,107,974 ",Private-4 year,2012-2013
Bradley University,"1,503","$6,314,507 ",Private-4 year,2012-2013
Columbia College,"2,490","$9,263,682 ",Private-4 year,2012-2013
Concordia University,570,"$2,343,037 ",Private-4 year,2012-2013
DePaul University,"5,104","$19,856,961 ",Private-4 year,2012-2013
Dominican University,940,"$4,021,292 ",Private-4 year,2012-2013
East West University,450,"$1,366,190 ",Private-4 year,2012-2013
Elmhurst College,"1,009","$4,182,438 ",Private-4 year,2012-2013
Eureka College,313,"$1,299,070 ",Private-4 year,2012-2013
Greenville College,372,"$1,473,982 ",Private-4 year,2012-2013
Hebrew Theological College,63,"$263,100 ",Private-4 year,2012-2013
Illinois College,356,"$1,489,980 ",Private-4 year,2012-2013
Illinois Institute of Technology,669,"$2,828,400 ",Private-4 year,2012-2013
Illinois Wesleyan University,433,"$1,997,286 ",Private-4 year,2012-2013
Judson University,302,"$1,155,092 ",Private-4 year,2012-2013
Knox College,254,"$1,129,334 ",Private-4 year,2012-2013
Lake Forest College,427,"$1,921,890 ",Private-4 year,2012-2013
Lewis University,"1,511","$5,959,504 ",Private-4 year,2012-2013
Lexington College,22,"$93,771 ",Private-4 year,2012-2013
Lincoln Christian University,214,"$735,930 ",Private-4 year,2012-2013
Lincoln College*,573,"$2,039,551 ",Private-4 year,2012-2013
Loyola University Chicago,"2,448","$10,240,566 ",Private-4 year,2012-2013
MacCormac College*,75,"$188,619 ",Private-4 year,2012-2013
MacMurray College,292,"$1,176,167 ",Private-4 year,2012-2013
McKendree University,584,"$2,308,310 ",Private-4 year,2012-2013
Millikin University,884,"$3,709,777 ",Private-4 year,2012-2013
Monmouth College,617,"$2,708,142 ",Private-4 year,2012-2013
Morrison Institute of Tech*,35,"$139,696 ",Private-4 year,2012-2013
National Louis University,608,"$1,714,084 ",Private-4 year,2012-2013
North Central College,792,"$3,395,126 ",Private-4 year,2012-2013
North Park University,632,"$2,354,591 ",Private-4 year,2012-2013
Northwestern University,505,"$2,208,263 ",Private-4 year,2012-2013
Olivet Nazarene College,727,"$2,917,127 ",Private-4 year,2012-2013
Quincy University,448,"$1,830,666 ",Private-4 year,2012-2013
Robert Morris University Illinois,"1,821","$6,407,000 ",Private-4 year,2012-2013
Rockford University,469,"$1,832,765 ",Private-4 year,2012-2013
Roosevelt University,"1,467","$4,979,926 ",Private-4 year,2012-2013
Shimer College,25,"$101,323 ",Private-4 year,2012-2013
St. Augustine College,"1,075","$3,230,462 ",Private-4 year,2012-2013
St. Xavier University,"1,444","$5,635,809 ",Private-4 year,2012-2013
Telshe Yeshiva,17,"$57,683 ",Private-4 year,2012-2013
The School of the Art Institute,244,"$877,369 ",Private-4 year,2012-2013
The University of Chicago,214,"$976,569 ",Private-4 year,2012-2013
Trinity Christian College,413,"$1,439,243 ",Private-4 year,2012-2013
Trinity International Univ- Reach,74,"$213,107 ",Private-4 year,2012-2013
Trinity International University,162,"$670,722 ",Private-4 year,2012-2013
University of St. Francis,666,"$2,644,001 ",Private-4 year,2012-2013
Vandercook College of Music,44,"$200,915 ",Private-4 year,2012-2013
Wheaton College,126,"$546,689 ",Private-4 year,2012-2013
Black Hawk College,906,"$859,857 ",Public-2 year,2012-2013
Carl Sandburg College,645,"$811,845 ",Public-2 year,2012-2013
College of DuPage,"2,415","$2,750,395 ",Public-2 year,2012-2013
College of Lake County,"1,403","$1,095,219 ",Public-2 year,2012-2013
Danville Area Community College,350,"$311,752 ",Public-2 year,2012-2013
Elgin Community College,"1,594","$1,432,874 ",Public-2 year,2012-2013
Frontier Community College,86,"$75,267 ",Public-2 year,2012-2013
Harold Washington College,"3,252","$3,028,829 ",Public-2 year,2012-2013
Harry S. Truman College,"1,576","$1,422,951 ",Public-2 year,2012-2013
Heartland Community College,713,"$588,340 ",Public-2 year,2012-2013
Highland Community College,381,"$368,100 ",Public-2 year,2012-2013
Illinois Central College,"1,474","$1,242,525 ",Public-2 year,2012-2013
Illinois Valley Community College,756,"$771,466 ",Public-2 year,2012-2013
John A. Logan College,740,"$683,339 ",Public-2 year,2012-2013
John Wood Community College,483,"$564,026 ",Public-2 year,2012-2013
Joliet Junior College,"1,873","$1,744,682 ",Public-2 year,2012-2013
Kankakee Community College,868,"$775,057 ",Public-2 year,2012-2013
Kaskaskia College,483,"$427,861 ",Public-2 year,2012-2013
Kennedy-King College,"2,022","$1,832,032 ",Public-2 year,2012-2013
Kishwaukee College,895,"$979,725 ",Public-2 year,2012-2013
Lake Land College,937,"$938,346 ",Public-2 year,2012-2013
Lewis & Clark Comm. College,685,"$665,543 ",Public-2 year,2012-2013
Lincoln Land Comm. College,966,"$770,897 ",Public-2 year,2012-2013
Lincoln Trail College,104,"$94,861 ",Public-2 year,2012-2013
Malcolm X College,"2,012","$1,740,631 ",Public-2 year,2012-2013
McHenry County College,631,"$609,325 ",Public-2 year,2012-2013
